participant,rater_1,rater_2,rater_3,rater_4,rater_5,performance_1,performance_2,performance_3,performance_4,performance_5,hire_1,hire_2,hire_3,hire_4,hire_5,expansiveness_1,expansiveness_2,expansiveness_3,expansiveness_4,expansiveness_5,gender_1,gender_2,gender_3,gender_4,gender_5,race_1,race_2,race_3,race_4,race_5,Order,Room,qualtrics,cond,Date,Time,RA,Video,Pose,Gamble,Length,Comments,Exclude.Video,Exc.Reason,StartDate,EndDate,powerful,in_charge,dominant,in_control,leader,accomplished,successful,achieving,fullfilled,self.worth,confident,productive,aware_pp,ted_pp,heard_pp,gender,race,exclude_video1,comments_video1,exclude_video2,comments_video2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1239,1027,1206,1009,NA,3,3,2,1,NA,2,2,2,3,NA,3,6,2,1,NA,1,2,1,1,NA,1,1,1,5,NA,69,1,y,AE,4/4/16,12:30,MP,Y,N,N,32,Participant,asked,whether,I'd,tell,her,when,5,minutes,were,up,N,,4/4/16,13:00,4/4/16,13:01,1,1,1,1,1,1,1,1,1,2,1,1,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1155,1092,1254,1153,NA,5,4,3,6,NA,1,1,2,1,NA,2,5,3,5,NA,2,1,2,1,NA,1,1,2,1,NA,8,1,y,UC,3/23/16,11:15,YS,Y,NA,Y,23,NA,N,,3/23/16,11:35,3/23/16,11:36,2,2,3,2,3,3,4,4,4,4,4,4,Y,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,1,n,UC,4/5/16,5:00,YS,N,NA,Y,22,Participant,was,9,mins,late,and,did,not,want,to,be,,filmed,,N,,4/5/16,17:30,4/5/16,17:31,5,5,4,4,4,4,4,5,3,5,5,5,N,N,N,1,2,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,1047,1165,1074,NA,NA,6,6,6,NA,NA,1,1,1,NA,NA,4,5,1,NA,NA,2,2,2,NA,NA,1,2,1,NA,NA,24,1,y,AE,3/28/16,9:03,RM,Y,N,N,33,Participant,was,3,minues,late,,looked,at,camera,during,speech,,N,,3/28/16,9:37,3/28/16,9:37,4,4,4,4,4,5,4,4,4,5,5,5,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1366,1034,1256,1058,NA,2,4,3,4,NA,3,2,2,2,NA,2,3,4,1,NA,2,2,2,2,NA,5,1,1,4,NA,115,1,y,UC,4/10/16,1:30,RM,Y,NA,Y,30,Asked,if,they,had,to,go,full,5,minutes,,N,,4/10/16,13:57,4/10/16,13:58,2,2,2,5,3,4,4,4,5,5,5,5,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1112,1217,1196,1048,NA,5,5,2,6,NA,2,1,2,1,NA,4,6,5,5,NA,1,2,2,2,NA,3,1,1,1,NA,126,1,y,AC,4/11/16,5:00,YS,Y,N,Y,28,Participant,asked,whether,he,has,to,speak,for,5,mins,,and,whether,he,has,to,stay,in,the,same,position,,N,,4/11/16,17:25,4/11/16,17:26,3,3,2,3,4,3,3,3,3,4,4,4,N,N,N,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1386,1001,1208,NA,NA,5,6,6,NA,NA,1,2,1,NA,NA,4,5,3,NA,NA,2,1,2,NA,NA,1,1,1,NA,NA,41,1,y,AE,3/30/16,11:15,YS,Y,N,N,29,Asked,whether,she,has,to,keep,speaking,for,5,mins,for,her,speech,,N,,3/30/16,11:42,3/30/16,11:43,4,4,4,3,4,3,3,4,4,4,4,4,N,N,N,2,1,N,NA,N,fidgeted,a,lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1079,1382,1225,1354,NA,1,5,5,4,NA,3,1,2,2,NA,2,2,3,4,NA,1,2,2,1,NA,4,2,1,1,NA,186,1,y,UE,4/18/16,5:00,YS,Y,NA,Y,20,"asked whether she had to respond while forming impression of five people(the first part of the study), asked whether she had to give facial expression like smile when filming ",N,,4/18/16,17:18,4/18/16,17:19,3,3,4,4,4,4,4,5,4,5,3,5,N,N,Y,2,3,N,fidgeted,a,lot,N,sometimes,put,fists,on,hips,in,expansive,pose,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1237,1036,1373,1300,NA,4,3,1,2,NA,2,1,3,3,NA,6,2,1,4,NA,2,2,1,1,NA,1,2,1,3,NA,146,1,y,AE,4/13/16,12:00,SS,Y,N,Y,26,"asked me to repeat the movie instructions, was very nervous giving the speech and apologized. Accepted a debriefing form",N,,4/13/16,12:23,4/13/16,12:24,2,2,1,1,1,2,1,2,2,1,1,1,N,N,N,2,1,Y,"wasn't leaning forward; hands at the edge of the table, close to body (expansive B)",N,"left position frequently, but not for 30+ sec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1107,1151,1244,1077,NA,4,1,4,2,NA,2,3,3,2,NA,5,4,3,2,NA,2,1,2,,NA,1,1,1,,NA,105,1,y,UE,4/7/16,7:15,AF,Y,NA,Y,24,Asked,if,he,was,supposed,to,smile,during,impression,task,when,person,smiled:,slight,mess,up,in,script,during,pose,B:,set,decision,paper,face,up,and,I,was,able,to,see,what,decision,they,made:,smirked,numerous,times,at,the,beginning,of,participant's,speech,N,,4/7/16,19:02,4/7/16,19:38,3,2,2,2,4,1,3,1,1,4,3,2,N,N,N,1,2,N,leaned,forward,slightly,(expansive,B),N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1384,1217,1351,NA,NA,3,1,1,NA,NA,3,3,3,NA,NA,2,3,2,NA,NA,2,2,1,NA,NA,1,1,1,NA,NA,211,1,y,AE,4/21/16,12:45,AF,Y,N,Y,29,Know,participant:,asked,if,had,to,be,five,minutes,after,starting,speech,,needed,prompting,N,,4/21/16,11:58,4/21/16,13:12,1,1,1,1,1,2,2,1,1,2,1,1,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,1,n,UE,4/18/16,7:15,JD,N,NA,Y,22,"Participant did not want to be filmed; did not flip card over for gambling task but I did not see the response before it was able to be flipped over; commented how gambling is promoting ""bad habits""; was very lackadasical in speech and didn't take it very seriously; asked if she could ask me questions; had to go through all of the prompt questions; laughed a lot and commented on how long five minutes was ",N,,4/18/16,19:33,4/18/16,19:34,1,1,1,2,1,1,1,1,3,3,2,3,N,Y,N,2,2,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1105,1036,1082,NA,NA,4,4,5,NA,NA,2,2,2,NA,NA,3,3,3,NA,NA,2,2,1,NA,NA,2,2,1,NA,NA,47,1,y,AC,3/30/16,5:45,SS,Y,N,Y,27,Did,not,hold,the,pose,during,the,preparation,of,speech,N,,3/30/16,18:10,3/30/16,18:11,2,3,4,3,2,4,4,3,2,5,4,3,Y,N,N,1,4,N,NA,N,"arms low, holding wrist, leaned against the wall (constrictive C)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1362,1028,1147,1267,NA,2,5,3,4,NA,3,2,2,3,NA,4,6,3,4,NA,2,2,2,2,NA,1,2,1,4,NA,38,1,y,UE,3/29/16,5:00,YS,Y,NA,Y,20,"Participant stuck during the speech multiple times, and asked ""how much time have left"" once. And also I forgot to have the participant fill out the survey. (soooo sorry)",N,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,"stood far from desk, hands on the edge of the table (expansive B)",N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1362,1280,1182,NA,NA,3,2,1,NA,NA,3,2,3,NA,NA,3,2,4,NA,NA,2,2,2,NA,NA,1,1,1,NA,NA,194,1,y,AC,4/19/16,1:15,IF,Y,N,N,30,"Participant asked if they should talk as if they already graduated college--responded ""whatever you feel comfortable with""--talked as if graduated during speech",N,,4/19/16,13:42,4/19/16,13:43,2,2,2,3,1,3,2,2,2,3,2,2,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1292,1223,1078,1321,NA,7,6,6,5,NA,1,1,1,1,NA,7,5,5,5,NA,1,2,2,2,NA,1,1,1,1,NA,171,1,y,AC,4/16/16,1:45,HM,Y,N,N,28,NA,N,,4/16/16,13:56,4/16/16,14:11,4,3,2,3,2,5,4,5,4,5,4,4,N,N,N,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,1019,1067,1163,NA,NA,5,5,5,NA,NA,2,1,1,NA,NA,5,4,5,NA,NA,1,1,2,NA,NA,1,5,1,NA,NA,190,1,y,AE,4/19/16,9:00,RT,Y,N,Y,29,NA,N,,4/19/16,9:28,4/19/16,9:29,4,2,3,2,4,4,4,4,4,4,4,4,N,N,N,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1274,1010,1326,1349,NA,5,5,3,5,NA,2,2,3,2,NA,4,5,3,6,NA,1,2,2,1,NA,1,2,2,1,NA,70,1,y,UE,4/4/16,1:15,MP,Y,NA,N,27,"When participant was doing expansive pose A, she said ""this is definitely a power pose,"" participant shook my hand during the speech, and asked if she could start over. Participant was talking to the camera. She read out loud quietly to herself as she was doing the survey",N,,4/4/16,13:40,4/4/16,13:41,1,1,1,1,1,5,5,5,5,5,5,5,Y,Y,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1322,1238,1255,1374,NA,4,3,2,1,NA,1,2,3,3,NA,2,3,1,2,NA,1,2,2,2,NA,1,1,1,3,NA,221,1,y,UC,4/22/16,4:15,MP,Y,NA,Y,28,"Went out of position after the 1-minute waiting period. Asked for time during speech twice, said she thought she performed badly on the speech",N,,4/22/16,16:37,4/22/16,16:38,1,1,1,1,1,2,2,2,2,3,3,2,N,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1375,1306,1282,1071,NA,5,3,5,6,NA,1,2,2,1,NA,4,2,4,4,NA,2,2,1,2,NA,1,5,1,2,NA,116,1,y,UC,4/10/16,2:15,RM,Y,NA,Y,30,NA,N,,4/10/16,14:40,4/10/16,14:41,2,2,2,2,2,3,2,3,3,4,3,3,Y,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1386,1281,1216,NA,NA,4,4,3,NA,NA,2,1,2,NA,NA,3,4,1,NA,NA,2,,2,NA,NA,1,,2,NA,NA,140,1,y,UE,4/12/16,5:45,YS,Y,NA,Y,21,asked,whether,he,has,to,prepare,for,5,mins,,correct,him,that,he,has,to,stay,in,the,position,while,preparing,for,the,speech,,N,,4/12/16,18:03,4/12/16,18:04,4,3,2,2,3,2,2,2,3,4,3,4,N,N,N,1,1,N,expansive,B--standing,back,from,table,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1049,1314,1170,1212,NA,2,4,5,4,NA,2,2,1,2,NA,2,3,3,3,NA,1,1,2,2,NA,3,1,1,1,NA,191,1,y,UC,4/19/16,9:45,RT,Y,NA,Y,24,Participant,was,leaning,against,wall,when,I,returned,to,conduct,the,speech,task,N,,4/19/16,10:07,4/19/16,10:08,4,4,4,4,5,4,4,4,4,4,5,4,Y,Y,Y,1,1,N,Arms,crossed,N,Leaned,on,wall,and,changed,arms,position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1080,1215,1087,1205,NA,4,3,2,5,NA,1,3,3,1,NA,5,2,3,4,NA,1,2,2,1,NA,2,2,1,1,NA,71,1,y,AC,4/4/16,5:00,YS,Y,N,Y,33,"when filming the first video, asked me whether she should give me feedback during the task; before prepare the speech, asked me whether she should hold the position for the whole time, and whether she will delivery a 5 mins speech; and also asked whether she can split her gum out (i said no, but she can do it later). ",N,,4/4/16,17:30,4/4/16,17:31,5,3,4,5,5,5,5,5,5,5,5,5,Y,N,Y,2,3,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1114,1042,1174,1024,NA,3,6,4,5,NA,2,1,2,1,NA,3,5,3,6,NA,2,2,2,2,NA,1,1,2,5,NA,76,1,y,AC,4/5/16,9:45,RT,Y,N,Y,32,very,fidgety.,Had,to,go,through,all,four,prompting,questions,and,then,repeat,(a),once.,N,,4/5/16,10:15,4/5/16,10:16,3,2,2,2,2,3,4,4,3,4,3,3,N,N,N,2,2,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1384,1086,1255,1359,NA,5,5,4,3,NA,2,1,2,3,NA,4,4,5,3,NA,2,2,2,1,NA,1,3,1,1,NA,184,1,y,UC,4/18/16,12:30,MP,Y,NA,Y,27,Asked,if,she,had,to,talk,the,whole,5,minutes,N,,4/18/16,12:54,4/18/16,12:55,4,2,2,3,5,4,5,5,4,4,5,4,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1139,1197,1351,1349,NA,5,7,5,3,NA,1,1,1,3,NA,6,2,5,3,NA,2,2,1,1,NA,2,1,1,1,NA,22,1,y,UC,3/27/16,4:30,JD,Y,NA,Y,32,Participant,showed,up,7,minutes,late.,Began,experiment,upon,arrival,,didn't,know,whether,to,look,at,me,or,the,camera,N,,3/27/16,16:59,3/27/16,17:00,3,2,2,3,2,3,3,2,1,2,1,3,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1386,1025,1182,1014,NA,2,4,2,6,NA,2,2,3,1,NA,3,6,3,5,NA,2,1,2,1,NA,1,1,1,1,NA,193,1,y,AC,4/19/16,11:15,RT,Y,N,Y,30,Participant,asked,if,she,had,to,remain,in,position,C,while,giving,the,speech.,N,,4/19/16,11:43,4/19/16,11:44,2,1,1,4,2,4,3,4,4,4,2,4,Y,N,Y,2,5,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1116,1185,1147,NA,NA,3,5,3,NA,NA,2,1,3,NA,NA,4,2,3,NA,NA,2,1,2,NA,NA,1,3,1,NA,NA,124,1,y,AE,4/11/16,12:30,MP,Y,N,N,32,The,handle,fell,of,the,tall,tripod,when,adjusting,it,(I,fixed,it).,Participant,asked,if,she,had,to,talk,the,whole,5,minutes.,N,,4/11/16,13:01,4/11/16,13:02,1,1,1,1,2,2,2,3,2,3,3,3,Y,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,1013,1247,1129,1376,NA,2,1,1,1,NA,3,3,3,3,NA,2,5,5,3,NA,2,2,1,1,NA,1,1,1,1,NA,83,1,y,UC,4/5/16,5:45,YS,Y,NA,N,21,Participant,did,not,speek,for,5,mins,even,though,I,specificly,asked,for,that,(also,run,out,of,questions),N,,4/5/16,18:03,4/5/16,18:04,2,2,2,2,2,2,2,2,2,2,2,2,N,N,Y,2,1,N,sat,far,from,desk,(constrictive,A),N,arms,lower,holding,jacket,(constrictive,C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1069,1151,1142,1012,NA,6,5,4,2,NA,1,2,2,3,NA,6,6,3,2,NA,2,1,2,1,NA,1,1,1,1,NA,17,1,y,UE,3/25/16,3:30,MP,Y,NA,Y,27,Asked,for,further,explanation,on,the,psychopy,task,N,,3/25/16,15:54,3/25/16,15:56,3,3,3,3,3,4,4,4,3,4,4,4,N,N,Y,2,2,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1079,1399,1277,1058,NA,2,4,3,4,NA,3,2,3,2,NA,1,4,4,2,NA,1,2,,2,NA,4,1,,4,NA,166,1,y,AE,4/15/16,2:10,IF,Y,N,Y,33,Participant,came,10,min,late.,Asked,if,they,had,to,go,the,full,5,min,during,speech.,N,,4/15/16,14:36,4/15/16,14:37,1,2,1,2,2,3,2,2,3,4,4,5,Y,Y,Y,2,1,N,NA,N,sometimes,put,fists,on,hips,in,expansive,pose,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1335,1128,1196,NA,NA,6,6,4,NA,NA,1,1,2,NA,NA,5,3,5,NA,NA,2,2,2,NA,NA,1,2,1,NA,NA,112,1,y,AE,4/8/16,3:30,MP,Y,N,N,31,"Participant mainly talked to camera during speech, said she didn't know what else to say about halfway through the speech",N,,4/8/16,15:58,4/8/16,15:59,4,3,4,4,3,4,4,4,5,5,4,5,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,1274,1339,1224,1048,NA,5,3,3,3,NA,2,1,2,2,NA,4,3,3,3,NA,1,2,2,2,NA,1,1,1,1,NA,11,1,y,AC,3/24/16,12:45,AF,Y,N,N,31,Forgot,to,count,down,10,seconds,until,prompting:,probably,waited,~,5,seconds,N,,3/24/16,11:56,3/24/16,13:15,2,2,2,4,3,3,3,4,4,3,3,4,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1079,1303,1161,1341,NA,2,3,2,2,NA,3,2,2,3,NA,1,3,2,1,NA,1,2,2,1,NA,4,1,4,1,NA,72,1,y,UC,4/4/16,5:45,YS,Y,NA,N,21,struggled,with,the,speech,several,times,,N,,4/4/16,18:04,4/4/16,18:05,2,1,2,3,2,2,4,3,3,4,2,4,Y,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1085,1238,1216,1145,NA,5,4,3,6,NA,2,2,3,1,NA,5,4,3,6,NA,2,2,2,2,NA,1,1,2,1,NA,158,1,y,AC,4/14/16,12:00,AF,Y,N,Y,30,Asked,if,allowed,to,move,while,watching,the,video,,explained,rules,a,little,further,,asked,more,clairfying,questions,about,speech,length,and,if,needed,to,state,dream,job,and,if,had,to,stand,in,the,pose,during,the,speech:,found,the,study,interesting,and,liked,the,idea,of,power,poses,being,used,for,the,study,N,,4/14/16,12:02,4/14/16,12:29,5,5,5,5,5,3,4,4,4,5,5,5,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,1173,1034,1345,1359,NA,3,6,3,1,NA,2,1,3,3,NA,4,6,4,2,NA,1,2,2,1,NA,1,1,1,1,NA,141,1,y,UC,4/12/16,7:15,MP,Y,NA,N,23,NA,N,,4/12/16,19:35,4/12/16,19:36,3,3,3,4,4,4,3,3,3,4,4,3,N,N,N,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1079,1247,1307,NA,NA,3,7,5,NA,NA,2,1,1,NA,NA,6,7,5,NA,NA,1,2,2,NA,NA,4,1,1,NA,NA,87,1,y,AC,4/6/16,12:45,SS,Y,N,Y,27,"Walked around during speech, practiced out loud before",N,,4/6/16,13:08,4/6/16,13:09,3,2,2,3,2,3,3,3,3,4,4,3,N,N,Y,1,1,N,NA,N,arms,crossed,(constrictive,C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
